Scheduler,Workload,Completed,MeanRT,MedianRT,P95RT,P99RT,MeanTAT,MeanWT,Throughput,Fairness,ContextSwitches,Preemptions
CFS,CPU-Bound,200,73.313,84.768,101.943,112.826,2682.32,73.313,0.052214,0.290267,1532,1332
EEVDF,CPU-Bound,200,73.313,71.051,286.514,428.31,2685.32,73.313,0.052214,0.290016,1532,1332
MLFQ,CPU-Bound,200,63.7116,74.768,91.9426,102.826,3010.56,63.7116,0.052214,0.181221,0,1332
Stride,CPU-Bound,200,66.213,76.788,93.7097,106.863,2719.17,66.213,0.052214,0.270347,1532,1332
CFS,I/O-Bound,200,152.007,160.3,279.355,295.932,448.454,152.007,0.236631,0.469144,338,138
EEVDF,I/O-Bound,200,152.007,125.46,369.336,394.285,447.307,152.007,0.236631,0.48294,338,138
MLFQ,I/O-Bound,200,152.007,160.3,279.355,295.932,448.454,152.007,0.236631,0.456917,0,138
Stride,I/O-Bound,200,152.007,160.3,279.355,295.932,448.454,152.007,0.236631,0.469134,338,138
CFS,Mixed,200,104.26,116.328,181.532,196.398,1248.08,104.26,0.080962,0.662327,988,788
EEVDF,Mixed,200,104.26,21.634,354.022,380.33,1238.39,104.26,0.080962,0.678071,988,788
MLFQ,Mixed,200,104.26,116.328,181.532,196.398,1239.01,104.26,0.080962,0.573905,0,788
Stride,Mixed,200,109.11,121.328,186.532,201.398,1244.38,109.11,0.080962,0.668226,988,788
CFS,Bursty,200,103.366,102.32,190.123,207.565,927.289,103.366,0.127664,0.320277,618,418
EEVDF,Bursty,200,103.366,26.8648,288.883,302.301,928.462,103.366,0.127664,0.317781,618,418
MLFQ,Bursty,200,103.366,102.32,190.123,207.565,1018.38,103.366,0.127664,0.282197,0,418
Stride,Bursty,200,103.366,102.32,190.123,207.565,940.483,103.366,0.127664,0.307281,618,418
CFS,Bimodal,200,104.26,116.328,181.532,196.398,409.341,104.26,0.102025,1.49308,784,584
EEVDF,Bimodal,200,104.26,69.0186,354.022,380.33,371.765,104.26,0.102025,1.68997,784,584
MLFQ,Bimodal,200,104.26,116.328,181.532,196.398,409.341,104.26,0.102025,1.49308,0,584
Stride,Bimodal,200,104.26,116.328,181.532,196.398,409.341,104.26,0.102025,1.49308,784,584
CFS,CPU-Bound,200,58.48,67.5711,80.9615,83.2285,2671.21,58.48,0.0531842,0.278764,1504,1304
EEVDF,CPU-Bound,200,58.43,50.5586,242.085,378.038,2670.24,58.43,0.0531842,0.278779,1504,1304
MLFQ,CPU-Bound,200,55.955,65.2144,78.4767,80.602,2971.39,55.955,0.0531842,0.165821,0,1304
Stride,CPU-Bound,200,58.455,67.5711,80.9615,83.2285,2697.06,58.455,0.0531842,0.260739,1504,1304
CFS,I/O-Bound,200,149.291,161.738,268.627,275.463,427.564,149.291,0.242348,0.48607,330,130
EEVDF,I/O-Bound,200,149.291,128.074,377.268,394.315,428.738,149.291,0.242348,0.491836,330,130
MLFQ,I/O-Bound,200,149.291,161.738,268.627,275.463,427.564,149.291,0.242348,0.473243,0,130
Stride,I/O-Bound,200,149.291,161.738,268.627,275.463,427.564,149.291,0.242348,0.484853,330,130
CFS,Mixed,200,100.186,117.207,163.973,166.909,1242.33,100.186,0.0804703,0.679348,994,794
EEVDF,Mixed,200,100.186,26.4379,328.523,380.599,1231.97,100.186,0.0804703,0.696965,994,794
MLFQ,Mixed,200,100.186,117.207,163.973,166.909,1231.95,100.186,0.0804703,0.588213,0,794
Stride,Mixed,200,105.086,122.207,168.973,171.909,1238.33,105.086,0.0804703,0.685506,994,794
CFS,Bursty,200,89.1295,92.3686,155.542,169.085,881.907,89.1295,0.131422,0.334013,600,400
EEVDF,Bursty,200,89.1295,25.4746,304.224,327.069,882.805,89.1295,0.131422,0.334354,600,400
MLFQ,Bursty,200,89.1295,92.3686,155.542,169.085,970.28,89.1295,0.131422,0.274874,0,400
Stride,Bursty,200,89.1295,92.3686,155.542,169.085,894.006,89.1295,0.131422,0.324323,600,400
CFS,Bimodal,200,100.186,117.207,163.973,166.909,372.864,100.186,0.10666,1.53073,749,549
EEVDF,Bimodal,200,100.186,80.6318,328.523,380.599,344.889,100.186,0.10666,1.69199,749,549
MLFQ,Bimodal,200,100.186,117.207,163.973,166.909,372.763,100.186,0.10666,1.53057,0,549
Stride,Bimodal,200,105.011,122.207,168.973,171.909,375.938,105.011,0.10666,1.50875,749,549
